Year,pompadour hairstyle,ducktail haircut,pixie cut,beehive hairstyle,mop-top,bouffant hairstyle,crew cut,afro hairstyle,shag haircut,feathered hair,cornrows,mullet haircut,jheri curl,perm hairstyle,hi-top fade,rattail haircut,mohawk hairstyle,dreadlocks,bowl cut,frosted tips,buzz cut,faux hawk,emo hair,undercut hairstyle,man bun,curtain bangs,wolf cut
1973,0.0,0.5257906332545303,0.23368473822671376,0.0,7.550546854417917,0.2921059227833922,33.53375888082155,0.17526355367003532,0.35052710734007064,0.17526355367003532,1.4732774999970388,0.0,0.0,0.0,0.0,0.0,0.0,0.9207984374981493,2.1615838008415267,0.17526355367003532,0.11684236911335688,0.0,0.0,0.0,0.0,0.17526355367003532,0.05842118455667844
1974,0.23860102782435888,0.3579015417365383,0.17895077086826916,0.17895077086826916,2.380939445600916,0.17895077086826916,33.821695666347296,0.3579015417365383,0.7158030834730766,0.3579015417365383,1.190469722800458,0.0,0.0,0.0,0.0,0.0,0.0,1.0651571846764796,1.4316061669461533,0.2982512847804486,0.0,0.0,0.0,0.0,0.0,0.0,0.05965025695608972
1975,0.05795237900674266,0.6374761829519571,0.11590475801348532,0.05795237900674266,8.521536365435622,0.23180951602697064,30.540903139808506,0.11590475801348532,0.6374761829519571,0.23180951602697064,1.704307250882664,0.0,0.0,0.0,0.0,0.0,0.0,2.617329020182524,0.8113333338499729,0.34771427404045596,0.23180951602697064,0.0,0.0,0.0,0.05795237900674266,0.0,0.34771427404045596
1976,0.055001996013270826,0.7700279303080038,0.16500598110091858,0.11000399202654165,3.2356060053473357,0.2200079840530833,30.96612388731046,0.055001996013270826,0.33001196220183715,0.49501797105833134,2.2533683807779425,0.0,0.0,0.055001996013270826,0.0,0.0,0.0,3.062269993137079,1.2650459568774863,0.2200079840530833,0.0,0.0,0.0,0.0,0.0,0.0,0.055001996013270826
1977,0.2713886337879501,0.4884995741250009,0.1628331913750003,0.0,3.022723626955326,0.5427772675759002,28.332973300848607,0.1628331913750003,0.3256663827500006,0.9769991482500018,0.855487791717735,0.0,0.0,0.0,0.0,0.0,0.0,10.493983459980427,1.139832339625002,0.2713886337879501,0.0542777281453688,0.0,0.0,0.0,0.1085554562907376,0.0,0.1085554562907376
1978,0.377841591348016,0.5937511038389687,0.10795474236768854,0.05397737118384427,3.235690604341812,0.377841591348016,25.747205256720918,0.43181896947075415,0.26988686285811525,0.26988686285811525,2.3274264737693784,0.0,0.0,0.0,0.0,0.0,0.0,4.314254287152153,1.2954568529011112,0.05397737118384427,0.3238642132252778,0.0,0.0,0.0,0.0,0.0,0.05397737118384427
1979,0.0,0.4815834397930985,0.3210556265287323,0.21403707972655894,2.8690059217240105,0.5886019449619084,33.282766764841654,0.4280741594531179,0.10701853986327947,0.5350926923775035,3.262791148372912,0.0,0.0,0.0,0.0,0.0,0.0,9.619608221100862,4.013195109564549,0.0,0.053509269931639736,0.0,0.0,0.0,0.0,0.0,0.21403707972655894
1980,0.1603577548525692,0.9086939534164173,0.26726293400614054,0.1603577548525692,2.640689222843662,0.26726293400614054,31.697382496531645,0.10690517221467744,0.1603577548525692,1.12250431172356,4.66334482140951,0.0,0.0,0.0,0.0,0.0,0.0,8.652470739889395,2.0311983206511286,0.21381034442935487,0.42762068885870974,0.0,0.0,0.0,0.0,0.05345258610733872,0.0
1981,0.27166188742988595,0.48899140292490983,0.7063208906643581,0.0,4.226842875709735,0.43465900323447215,31.56711159135739,0.48899140292490983,0.162997129682374,1.0323151222735305,5.312113415811837,0.0,0.0,0.0,0.0,0.0,0.0,12.737648269478541,1.0323151222735305,0.10866475080861804,0.3803266312996101,0.0,0.0,0.0,0.10866475080861804,0.0,0.27166188742988595
1982,0.21645228664990412,0.9740352968634625,0.37879149816788527,0.05411307166247603,2.3326500731002398,0.7034699489594232,31.710261083617297,0.21645228664990412,0.05411307166247603,1.0281483442398098,4.09636147225001,0.05411307166247603,0.0,0.0,0.0,0.0,0.0,14.963097427767025,2.2186359416309642,0.05411307166247603,0.0,0.0,0.0,0.0,0.0,0.0,0.05411307166247603
1983,0.1565466367647872,0.46963988253878597,0.41745767953571544,0.1565466367647872,2.9074629370740013,0.41745767953571544,32.509515079937046,0.46963988253878597,0.3130932735295744,0.6261865470591488,3.401183112927697,0.0,0.0,0.0,0.0,0.0,0.0,20.955676305334237,1.2523730941182976,0.3652754765326449,0.05218220994196443,0.0,0.0,0.0,0.10436441988392886,0.05218220994196443,0.10436441988392886
1984,0.8128454576095123,0.20321136440237808,1.1176625180908673,0.05080284110059452,3.204515319765733,0.35561989464305555,33.32666409505691,0.35561989464305555,0.20321136440237808,0.5588312590454336,3.898827038995023,0.0,0.0,0.0,0.0,0.0,0.10160568220118904,19.33391047259647,1.1684653244969923,0.0,0.7112397892861111,0.0,0.0,0.0,0.05080284110059452,0.0,0.35561989464305555
1985,0.14802283010428852,0.690773216405205,0.8881370083813067,0.0,2.230859941221297,0.8387960326317057,36.06822929214104,0.44406850419065336,0.5920913204171541,2.4670472331678184,3.891035049718994,0.0,0.04934094452457849,0.0,0.0,0.0,0.14802283010428852,29.2605815133129,1.7762740167626134,0.0,0.29604566020857703,0.0,0.0,0.0,0.04934094452457849,0.0,0.04934094452457849
1986,0.2956636047102279,1.2319316677888992,0.4927726560133294,0.44349540706534185,5.129936475611885,0.8869908141306837,38.879761632415466,1.0348225609746464,0.3449408536582155,6.948094544156902,3.989950592142577,0.0,0.0,0.0,0.0,0.0,0.09855453259044467,23.887885447493318,1.1826544188409116,0.19710906518088933,0.39421813036177866,0.0,0.0,0.0,0.09855453259044467,0.0,0.3449408536582155
1987,0.2447153313323014,0.7341460217524798,0.636259878117329,0.2447153313323014,1.749441258525053,0.7830890935700552,39.93754305042785,0.880975237205206,0.2936584031498768,0.7341460217524798,4.116332164016967,0.0,0.2936584031498768,0.0,0.0,0.0,0.1468292015749384,29.534684031773395,2.545039512469316,0.04894306834812845,0.5383737344821782,0.0,0.0,0.0,0.0978861366962569,0.0,0.0978861366962569
1988,0.24088819827738917,1.2526185644290422,0.7226645948321675,0.48177639655477833,3.5953351407158607,0.14453291341531838,44.564316681316996,0.33724348313945995,0.9153751645563091,1.0599080502160518,6.684285125402312,0.0,0.04817763896158844,0.0,0.0,0.0,0.0,31.952907875165693,1.3971515055999362,0.09635527792317689,0.8190198519386627,0.0,0.0,0.0,0.0,0.04817763896158844,0.09635527792317689
1989,0.27595228879739864,0.6438886646087383,1.0578170561714728,0.13797614439869932,2.5147139925962847,0.6898807081157088,40.97891448395785,0.09198409395283491,0.6898807081157088,3.6333716035841235,5.416307402583698,0.0,0.6438886646087383,0.045992046976417456,0.0,0.0,0.0,34.67403786316936,1.5637295902592996,0.18396818790566982,0.6438886646087383,0.0,0.0,0.0,0.045992046976417456,0.0,0.0
1990,0.4008272047606454,0.846190784109524,0.846190784109524,0.2672181365070969,3.698169548371766,0.48989995393711183,44.22460264663641,0.04453635724099847,0.35629085792798776,0.9797999078742237,7.255902101377387,0.0,0.08907271448199694,0.0,0.0,0.04453635724099847,0.17814542896399388,35.34326609155869,2.1377450920567753,0.35629085792798776,0.7571180904442087,0.0,0.0,0.0,0.0,0.0,0.04453635724099847
1991,0.3692787187148383,0.7847172911468192,1.5694345822936384,0.27695903903612873,6.744261593638612,0.692397583712534,50.729664025084276,0.09231967967870958,0.5539180780722575,1.2001558635788,7.811698843340764,0.0,1.0616763024273723,0.18463935935741915,0.0,0.0,0.13847951951806436,41.193366939751286,1.9387131899861743,0.18463935935741915,1.6617542897279236,0.0,0.0,0.0,0.0,0.04615983983935479,0.13847951951806436
1992,0.5760127930187764,0.6203215163758102,1.1963343649057379,0.5760127930187764,3.8182546013842966,0.6203215163758102,46.12533288650411,0.17723471301689386,0.9304822468081397,0.9304822468081397,8.614355451186384,0.0,0.44308678948112856,0.0,0.4415526000389747,0.0,0.0,59.043255618007606,2.2154338363833403,0.13292603129322345,1.683729822232749,0.044308678254223466,0.0,0.0,0.0,0.0,0.044308678254223466
1993,0.7982505767500925,0.5765143362701508,1.4634594647233712,0.26608354408708124,3.8213832098676903,1.1973758651251387,48.73763259638508,0.13304177204354062,0.5321670881741625,2.9712661220315795,11.883570572024382,0.0,0.5765143362701508,0.04434725503488224,0.24549412502850032,0.17738902013952895,0.08869451006976448,60.909123078545235,1.6851956496921616,0.4878197845670229,2.8382243222324632,0.04434725503488224,0.0,0.0,0.0,0.0,0.17738902013952895
1994,0.5690732329810544,1.0068219591374827,1.9260941730436798,0.3064240527983486,3.2649263292938713,0.6128481055966972,48.502549532258854,0.04377486567674893,0.8317224686749114,1.5321203195028943,12.691826256627792,0.0,0.7879475960592686,0.1313245900913529,0.048429909388358894,0.2626491801827058,0.0,71.3225460913236,2.4076176607934485,0.21887433532263856,4.377486373385864,0.0,0.0,0.0,0.0,0.0,0.08754973135349786
1995,0.6782979733443995,0.8478724389249237,1.7805321661512608,0.3391489866721997,8.907284687609263,1.1870214811082747,50.10926429349638,0.7630852061346616,1.356595946688799,1.5685640564200298,12.33658952770611,0.042393623334024966,0.5511170964034307,0.0,0.0,0.1271808769409688,0.0,83.86208349975277,2.2468620297644293,0.1271808769409688,6.486224446433653,0.0,0.0,0.0,0.0,0.0,0.16957449333609986
1996,1.0300479358349435,1.0300479358349435,1.716746633739774,0.5579426365365237,4.373683193392708,1.1158852730730473,61.07325845050582,0.4291866584349435,1.1158852730730473,4.334784975412731,15.150076748682295,0.0,0.4721052992984198,0.04291866514960496,0.0,0.04291866514960496,0.12875599197936793,77.28343121016223,3.733923836790609,0.17167466059841985,9.356268648730293,0.0,0.0,0.0,0.0,0.0,0.0
1997,0.4767904959734892,0.5634796518272367,1.7771281113354576,0.5201350461447873,3.7327967383760097,0.9969255421182766,66.83735875867569,0.4767904959734892,1.343682276555569,2.340607707651543,14.97670787387051,0.0,0.8668917805820797,0.0,0.0,0.08668917667042919,0.13003376153619683,104.60934873890437,3.0774658377197284,0.4767904959734892,14.953883464841056,0.08668917667042919,0.0,0.0,0.0,0.0,0.13003376153619683
1998,0.42588602089388417,1.2350694911233973,1.9164871911669934,0.42588602089388417,5.365190514083906,0.8943606411015992,63.66995819462318,0.6814176445324449,0.7240062438462758,3.194145170581919,16.184991125101078,0.17035441113311123,0.8943606411015992,0.04258860278327781,0.0,0.17035441113311123,0.08517720556655561,104.755343954821,3.6626197630340585,0.46847464796329064,14.650479052136234,0.0,0.0,0.0,0.04258860278327781,0.0,0.25553162363856075
1999,0.46217338289800125,0.9243467657960025,2.1848196585239066,0.2941103471876261,8.469941192856822,1.3024886724721796,65.16644646126224,0.5462049146309766,1.3024886724721796,3.6553713389508857,15.792910090794976,0.21007881545465068,0.37814185116502586,0.0,0.0,0.12604728372167529,0.2941103471876261,98.33071601406118,3.6133556147177615,1.0083782697734023,17.814683062056247,0.0,0.0,0.0,0.042015762397040746,0.042015762397040746,0.0
2000,0.5367271627143566,1.1117919918035568,3.0670124218090677,0.6134024954640438,5.637474043140855,1.610181543654221,86.83478824877966,0.49838955185066425,1.0734543254287132,4.102129302907542,24.925688180132965,0.3450389141068655,1.1117919918035568,0.3067012477320219,0.0,0.11501297136895516,0.11501297136895516,134.77588822752296,3.7570901945116475,0.3450389141068655,22.734230498144825,0.07667531193300547,0.0,0.0,0.03833765596650274,0.0,0.2683635813571783
2001,0.7315787975414878,0.7700829418588739,3.5423814992441294,0.3080331822946647,8.372014193014365,1.809694949450602,94.02712919381884,0.34653732661205083,1.7326866608158298,4.042935319858998,26.693378174513782,0.38504147092943697,0.6545705089067155,0.0,0.08518163951976021,0.0,0.03850414778683309,147.784248838434,5.121051582790415,0.5390580759545571,23.41052152132761,0.0,0.0,0.0,0.03850414778683309,0.0,0.11551244682994621
2002,0.5782192502579164,1.0841610942335933,4.192089342325289,0.4698031408345571,5.960145266215022,1.445548125644791,97.82746701603173,0.39752573455231754,1.6985191031437807,4.119812047065352,35.45716964481471,0.5782192502579164,0.6866353596812758,0.0,0.03998062297894123,0.03613870314111978,0.10841610942335933,159.17764528694534,3.902980161285541,0.2891096251289582,28.94710071643658,0.0,0.03613870314111978,0.0,0.0,0.1445548125644791,0.18069351570559888
2003,1.1076231043460893,1.4883685395261637,3.495935319008936,1.142236305540223,4.579722823194743,1.5229817407202972,107.92402349579788,0.3807454351800743,2.042180202721511,3.980520357771411,35.83814844887456,1.4883685395261637,0.6230380100724631,0.13845288804326117,0.11479089900845452,0.0,0.27690577608652234,166.06946928732214,5.3996624949093075,0.5191983509789111,32.501816349395085,0.03461322201081529,0.0,0.0,0.0,0.0,0.4845850942736263
2004,1.048177544760165,1.0143653694782984,4.260334307559788,0.23668525472864133,5.537237335317968,1.792045511983531,108.40184216931448,0.6424313858666153,1.5553601739881628,5.579009698664095,50.47404627589458,1.8258576872653975,0.5409948600210157,0.0,0.07470869756165399,0.06762435750262696,0.06762435750262696,168.38880867453554,5.579009698664095,0.37193395585610745,33.84599267519661,0.06762435750262696,0.03381217875131348,0.0,0.16906089028712046,0.0,0.27049743001050786
2005,1.074099476028323,0.8234762316483568,5.871743535834639,1.074099476028323,5.1108632881380345,2.0049857329951237,113.99775701192993,0.8234762316483568,1.5395426045117233,6.193973334234215,46.56146757042734,1.8259690426347674,0.8950828966902691,0.03580331517372137,0.23725166276022946,0.0,0.07160663034744275,164.63744145767123,6.372990135616874,0.3222298261551515,35.91072683661878,0.0,0.0,0.0,0.0,0.03580331517372137,0.286426521389771
2006,0.5848838080524388,1.1009577693954498,5.642408762440709,0.8601232504013012,5.379937384475397,2.064295845372044,104.65979727314334,0.9633380759765942,2.2707253855003273,5.814433379214279,54.232653923236285,1.7546514241573163,1.4794120373196051,0.17202464452914512,0.0,0.06880986058721561,0.06880986058721561,192.81117147329496,6.158482612761418,0.5848838080524388,34.95540923381668,0.44726408687800756,0.10321479088082341,0.0,0.13761972117443122,0.0,0.4816690379882971
